50,Egg Cheese,Breakfast,NULL,140g,360,19,13,0.5,155,700,34,1,3,13,4,0,10,15,0
51,Chili,Soups & Chili,NULL,10oz.,300,19,7,1,90,1320,17,4,4,26,4,10,6,25,0
52,Baked Beans,Soups & Chili,NULL,8oz,270,5,1.5,0,5,1140,47,12,14,10,0,6,10,25,0
53,Chicken Noodle,Soups & Chili,NULL,10oz.,120,2,1,0.2,20,820,18,1,2,5,15,25,2,25,0
54,Hearty Vegetable,Soups & Chili,NULL,10oz,70,0.4,0.1,0,0,930,14,3,2,4,0,6,4,6,0
55,Vegetable Beef Barley,Soups & Chili,NULL,10oz.,110,1.5,0.3,0,5,930,21,2,2,4,15,30,2,30,0
56,Turkey and Wild Rice,Soups & Chili,NULL,10oz.,120,1.5,0.2,0,0,1000,21,1,2,3,10,35,2,35,0
57,Split Pea with Ham,Soups & Chili,NULL,10oz.,150,2.5,2.5,0,5,930,27,5,3,8,15,6,2,35,0
58,Cream of Broccoli,Soups & Chili,NULL,10oz,160,9,4,0.1,20,820,16,1,6,6,30,4,15,4,0
59,Hearty Potato Bacon,Soups & Chili,NULL,10oz.,250,13,6,0.2,30,790,23,1,5,6,0,2,10,4,0
60,Beef Noodle,Soups & Chili,NULL,10oz.,130,1.5,0.4,0,10,930,23,1,3,6,15,6,2,30,0
61,Minestrone,Soups & Chili,NULL,10oz.,120,3,0.4,0,0,750,24,2,4,4,15,35,4,35,0
62,Creamy Field Mushroom,Soups & Chili,NULL,10oz,150,3,2,0,0,1080,28,1,3,3,0,0,2,4,0
63,Apple Fritter,Donuts,NULL,110g,300,11,5,0.1,0,350,49,2,16,4,0,4,4,20,0
64,Blueberry Fritter,Donuts,NULL,110g,330,10,4.5,0.1,0,340,55,2,22,6,0,0,2,15,0
65,Dutchie,Donuts,NULL,72g,250,10,4.5,0.1,0,210,38,1,16,4,0,0,2,15,0
66,Chocolate Dip,Donuts,NULL,62g,210,8,3.5,0.1,0,190,32,1,9,4,0,0,2,10,0
67,Maple Dip,Donuts,NULL,62g,210,8,3.5,0.1,0,190,32,1,9,4,0,0,2,10,0
68,Honey Dip,Donuts,NULL,62g,210,8,3.5,0.1,0,190,33,1,11,4,0,0,2,10,0
69,Old Fashion Plain,Donuts,NULL,58g,260,19,9,0.1,10,230,20,1,7,3,0,0,2,6,0
70,Old Fashion Glazed,Donuts,NULL,75g,320,19,9,0.1,10,230,35,1,22,3,0,0,2,6,0
71,Chocolate Glazed,Donuts,NULL,75g,260,10,4.5,0.1,5,300,39,2,20,4,0,0,2,15,0
72,Sour Cream Plain,Donuts,NULL,58g,270,17,8,0.1,10,230,27,1,10,3,0,0,2,6,0
73,Boston Cream,Donuts,NULL,89g,250,8,3.5,0.1,0,260,40,1,13,4,0,0,2,15,0
74,Strawberry Vanilla,Donuts,NULL,89g,310,8,3.5,0.1,0,220,55,1,28,4,0,0,2,15,0
75,Strawberry,Donuts,NULL,89g,230,8,3.5,0.1,0,220,36,1,12,4,0,0,2,15,0
76,Blueberry,Donuts,NULL,89g,230,8,3.5,0.1,0,210,36,1,11,4,0,0,2,15,0
77,Canadian Maple,Donuts,NULL,89g,260,8,3.5,0.1,0,260,43,1,17,4,0,0,2,15,0
78,Walnut Crunch,Donuts,NULL,80g,360,23,10,0.1,5,320,35,1,19,4,0,0,2,15,0
79,Honey Cruller,Donuts,NULL,80g,320,19,9,0.4,50,220,37,0,23,1,0,0,2,4,0
80,Honey Dip,Timbits,NULL,17g,60,2,1,0,0,50,9,0,4,1,0,0,0,4,0
81,Dutchie,Timbits,NULL,16g,50,2,1,0,0,40,9,0,4,1,0,0,0,2,0
82,Apple Fritter,Timbits,NULL,17g,50,1.5,1,0,0,55,9,0,4,1,0,0,0,2,0
83,Old Fashion Plain,Timbits,NULL,16g,70,5,2.5,0,5,60,5,0,2,1,0,0,0,2,0
84,Sour Cream Glazed,Timbits,NULL,19g,90,4.5,2,0,5,65,12,0,7,1,0,0,0,2,0
85,Chocolate Glazed,Timbits,NULL,19g,70,2.5,1,0,0,75,10,0,5,1,0,0,0,4,0
86,Raspberry,Timbits,NULL,18g,60,2,1,0,0,50,10,0,4,1,0,0,0,4,0
87,Lemon,Timbits,NULL,18g,60,2,1,0,0,50,9,0,4,1,0,0,0,4,0
88,Strawberry,Timbits,NULL,18g,60,2,1,0,0,55,10,0,4,1,0,0,0,4,0
89,Blueberry,Timbits,NULL,18g,60,2,1,0,0,50,10,0,4,1,0,0,0,4,0
90,Chocolate Chunk,Cookies,NULL,57g,230,9,6,0.1,20,260,35,1,19,2,8,0,2,10,0
91,Peanut Butter,Cookies,NULL,57g,280,16,7,0.1,20,260,27,2,16,6,8,0,2,8,0
92,Oatmeal Raisin Spice,Cookies,NULL,57g,220,8,5,0.1,25,200,35,1,21,3,8,0,2,8,0
93,Triple Chocolate,Cookies,NULL,57g,250,13,8,0.1,30,220,31,2,20,3,10,0,2,15,0
94,Caramel Chocolate Pecan,Cookies,NULL,57g,230,11,5,0.1,20,290,32,1,17,3,8,0,2,10,0
95,White Chocolate Macadamia Nut,Cookies,NULL,57g,240,12,6,0.1,20,270,31,1,17,3,8,0,2,8,0
96,Coffee (1 cream 1 sugar),Beverages,NULL,10oz,75,3.5,2,0.1,15,15,9,0,9,1,2,0,2,0,100
97,Decaffeinated Coffee (1 cream 1sugar),Beverages,NULL,10oz,75,3.5,2,0,15,15,9,0,9,1,2,0,2,0,6
98,Steeped Tea (1 milk 1 sugar),Beverages,NULL,10oz,50,1,0.5,0,5,20,10,0,10,1,2,0,4,0,59
99,Hot Chocolate,Beverages,NULL,10oz,240,6,5,0.2,0,360,45,2,38,2,0,0,2,15,15
100,French Vanilla Cappuccino,Beverages,NULL,10oz,250,8,7,0.1,5,240,41,1,31,4,0,0,10,2,56
101,English Toffee Cappuccino,Beverages,NULL,10oz,240,7,6,0.1,5,220,41,2,30,4,0,0,15,8,56
102,Iced Cappuccino,Beverages,NULL,10oz,250,11,6,0.4,45,50,33,0,33,2,8,0,10,2,120
103,Iced Cappuccino-Milk,Beverages,NULL,10oz,150,1.5,1,0,5,35,32,0,32,3,2,0,8,2,120
104,Cafe Mocha,Beverages,NULL,10oz,180,8,6,1,0,170,27,1,24,1,0,0,8,0,66
105,Hot Smoothee,Beverages,NULL,10oz,260,10,9,0.3,5,200,39,2,28,5,0,0,10,0,0
106,Flavour Shot,Beverages,NULL,1mL,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107,Apple Juice,Beverages,NULL,300mL,130,0,0,0,0,30,32,0,29,0,0,100,0,2,0
108,Orange Juice,Beverages,NULL,300mL,140,0,0,0,0,30,35,0,33,1,0,100,0,2,0
